224,薔薇,森 鴎外,鴎外選集　第14巻,岩波書店
224,薔薇,森 林太郎,鴎外選集　第14巻,岩波書店
225,レズビアン・ライフ,早見 秋,レズビアン・ライフ,海越出版社
226,ボヘミアの醜聞,大久保 ゆう,,
226,ボヘミアの醜聞,ドイル アーサー・コナン,,
227,伽藍とバザール,山形 浩生,,
227,伽藍とバザール,レイモンド  エリック,,
228,セメント樽の中の手紙,葉山 嘉樹,全集・現代文学の発見・第一巻　最初の衝撃,学芸書林
229,父を失う話,渡辺 温,アンドロギュノスの裔,薔薇十字社
230,コーヒーメーカー,植松 真人,,
231,コピーライトの史的展開,白田 秀彰,「一橋研究」 19巻4号(1995年1月) から21巻3号(1996年10月)まで不定期連載,
233,デンマルク国の話,内村 鑑三,後世への最大遺物　デンマルク国の話,岩波文庫、岩波書店
234,二十世紀旗手,太宰 治,太宰治全集2,ちくま文庫、筑摩書房
235,八十八夜,太宰 治,太宰治全集3,ちくま文庫、筑摩書房
236,ア、秋,太宰 治,太宰治全集3,ちくま文庫、筑摩書房
237,小さいアルバム,太宰 治,太宰治全集5,ちくま文庫、筑摩書房
238,老ハイデルベルヒ,太宰 治,太宰治全集3,ちくま文庫、筑摩書房
239,兄たち,太宰 治,太宰治全集3,ちくま文庫、筑摩書房
240,あさましきもの,太宰 治,太宰治全集2,ちくま文庫、筑摩書房
241,美男子と煙草,太宰 治,太宰治全集9,ちくま文庫、筑摩書房
242,美少女,太宰 治,太宰治全集3,ちくま文庫、筑摩書房
243,眉山,太宰 治,太宰治全集9,ちくま文庫、筑摩書房
244,チャンス,太宰 治,太宰治全集8,ちくま文庫、筑摩書房
245,父,太宰 治,太宰治全集9,ちくま文庫、筑摩書房
246,畜犬談,太宰 治,日本文学全集70　太宰治集,集英社
247,地球図,太宰 治,太宰治全集1,ちくま文庫、筑摩書房
248,千代女,太宰 治,太宰治全集4,ちくま文庫、筑摩書房
249,断崖の錯覚,黒木 舜平,太宰治全集10,ちくま文庫、筑摩書房
249,断崖の錯覚,太宰 治,太宰治全集10,ちくま文庫、筑摩書房
250,男女同権,太宰 治,太宰治全集8,ちくま文庫、筑摩書房
251,誰,太宰 治,太宰治全集4,ちくま文庫、筑摩書房
252,誰も知らぬ,太宰 治,太宰治全集3,ちくま文庫、筑摩書房
253,十二月八日,太宰 治,太宰治全集5,ちくま文庫、筑摩書房
254,デカダン抗議,太宰 治,太宰治全集3,ちくま文庫、筑摩書房
255,道化の華,太宰 治,太宰治全集2,筑摩書房
256,服装に就いて,太宰 治,太宰治全集4,ちくま文庫、筑摩書房
257,玩具,太宰 治,太宰治全集1,ちくま文庫、筑摩書房
258,グッド・バイ,太宰 治,太宰治全集9,ちくま文庫、筑摩書房
259,逆行,太宰 治,太宰治全集2,筑摩書房
260,逆行,太宰 治,晩年,新潮文庫、新潮社
261,母,太宰 治,太宰治全集9,ちくま文庫、筑摩書房
262,恥,太宰 治,太宰治全集4,ちくま文庫、筑摩書房
263,薄明,太宰 治,太宰治全集8,ちくま文庫、筑摩書房
264,花火,太宰 治,太宰治全集5,ちくま文庫、筑摩書房
265,犯人,太宰 治,太宰治全集9,ちくま文庫、筑摩書房
266,春の盗賊,太宰 治,太宰治全集3,ちくま文庫、筑摩書房
267,皮膚と心,太宰 治,きりぎりす,新潮文庫、新潮社
268,火の鳥,太宰 治,太宰治全集2,ちくま文庫、筑摩書房
269,火の鳥,太宰 治,太宰治全集第二巻,筑摩書房
270,富嶽百景,太宰 治,筑摩現代文学大系　59　太宰治集,筑摩書房
271,HUMAN LOST,太宰 治,太宰治全集2,ちくま文庫、筑摩書房
272,陰火,太宰 治,太宰治全集2,筑摩書房
273,一灯,太宰 治,太宰治全集3,ちくま文庫、筑摩書房
274,女類,太宰 治,太宰治全集9,ちくま文庫、筑摩書房
275,女生徒,太宰 治,女生徒,角川文庫、角川書店
276,貨幣,太宰 治,女生徒,角川文庫、角川書店
277,駈込み訴え,太宰 治,走れメロス,新潮文庫、新潮社
278,鴎,太宰 治,太宰治全集3,ちくま文庫、筑摩書房
279,懶惰の歌留多,太宰 治,太宰治全集2,ちくま文庫、筑摩書房
280,喝采,太宰 治,太宰治全集2,ちくま文庫、筑摩書房
281,花燭,太宰 治,太宰治全集2,ちくま文庫、筑摩書房
282,家庭の幸福,太宰 治,ヴィヨンの妻,新潮文庫、新潮社
283,風の便り,太宰 治,太宰治全集4,ちくま文庫、筑摩書房
284,禁酒の心,太宰 治,太宰治全集5,ちくま文庫、筑摩書房
285,乞食学生,太宰 治,太宰治全集3,ちくま文庫、筑摩書房
286,古典風,太宰 治,太宰治全集3,ちくま文庫、筑摩書房
287,黄村先生言行録,太宰 治,太宰治全集5,ちくま文庫、筑摩書房
288,苦悩の年鑑,太宰 治,太宰治全集8,ちくま文庫、筑摩書房
289,虚構の春,太宰 治,太宰治全集1,ちくま文庫、筑摩書房
290,狂言の神,太宰 治,太宰治全集1,ちくま文庫、筑摩書房
291,饗応夫人,太宰 治,太宰治全集9,ちくま文庫、筑摩書房
292,リイズ,太宰 治,太宰治全集3,ちくま文庫、筑摩書房
293,女神,太宰 治,太宰治全集9,ちくま文庫、筑摩書房
294,めくら草紙,太宰 治,太宰治全集1,ちくま文庫、筑摩書房
295,メリイクリスマス,太宰 治,太宰治全集8,ちくま文庫、筑摩書房
296,雌に就いて,太宰 治,太宰治全集1,ちくま文庫、筑摩書房
297,未帰還の友に,太宰 治,太宰治全集8,ちくま文庫、筑摩書房
298,みみずく通信,太宰 治,太宰治全集4,ちくま文庫、筑摩書房
299,盲人独笑,太宰 治,太宰治全集3,ちくま文庫、筑摩書房
300,彼は昔の彼ならず,太宰 治,太宰治全集1,ちくま文庫、筑摩書房
301,人間失格,太宰 治,人間失格,新潮文庫、新潮社
302,庭,太宰 治,太宰治全集8,ちくま文庫、筑摩書房
303,女人訓戒,太宰 治,太宰治全集3,ちくま文庫、筑摩書房
304,女の決闘,太宰 治,太宰治全集3,ちくま文庫、筑摩書房
305,おさん,太宰 治,太宰治全集9,ちくま文庫、筑摩書房
306,おしゃれ童子,太宰 治,太宰治全集3,ちくま文庫、筑摩書房
307,お伽草紙,太宰 治,太宰治全集第七巻,筑摩書房
308,桜桃,太宰 治,人間失格・桜桃,角川文庫、角川書店
309,親という二字,太宰 治,太宰治全集8,ちくま文庫、筑摩書房
310,フォスフォレッスセンス,太宰 治,太宰治全集9,ちくま文庫、筑摩書房
311,令嬢アユ,太宰 治,太宰治全集4,ちくま文庫、筑摩書房
312,列車,太宰 治,晩年,新潮文庫、新潮社
313,列車,太宰 治,太宰治全集2,筑摩書房
314,律子と貞子,太宰 治,太宰治全集5,ちくま文庫、筑摩書房
315,ろまん灯籠,太宰 治,太宰治全集4,ちくま文庫、筑摩書房
316,ロマネスク,太宰 治,太宰治全集1,ちくま文庫、筑摩書房
317,佐渡,太宰 治,太宰治全集4,ちくま文庫、筑摩書房
318,酒の追憶,太宰 治,太宰治全集9,ちくま文庫、筑摩書房
319,電報,黒島 伝治,筑摩現代文学大系 38　小林多喜二　黒島伝治　徳永直集,筑摩書房
320,犬と釣り,小沢 真理子,,
321,二老人,国木田 独歩,号外・少年の悲哀　他六篇,岩波文庫、岩波書店
322,源おじ,国木田 独歩,日本文学全集12　国木田独歩　石川啄木集,集英社
323,牛肉と馬鈴薯,国木田 独歩,牛肉と馬鈴薯・酒中日記,新潮文庫、新潮社
324,非凡なる凡人,国木田 独歩,日本文学全集12　国木田独歩　石川啄木集,集英社
325,疲労,国木田 独歩,号外・少年の悲哀　他六篇,岩波文庫、岩波書店
326,少年の悲哀,国木田 独歩,日本文學全集4 　國木田獨歩,新潮社
327,恋を恋する人,国木田 独歩,日本の短編小説［明治・大正］,潮文庫、潮出版社
328,窮死,国木田 独歩,号外・少年の悲哀　他六篇,岩波文庫、岩波書店
329,武蔵野,国木田 独歩,日本文学全集12　国木田独歩　石川啄木集,集英社
330,怠惰屋の弟子入り,国木田 独歩,国木田独歩全集　第四巻,学習研究社
331,石清虚,国木田 独歩,國木田獨歩全集　第四巻,学習研究社
332,酒中日記,国木田 独歩,牛肉と馬鈴薯・酒中日記,新潮文庫、新潮社
333,空知川の岸辺,国木田 独歩,現代日本文學大系　11　國木田獨歩・田山花袋集,筑摩書房
334,少年の悲哀,国木田 独歩,号外・少年の悲哀　他六篇,岩波文庫、岩波書店
335,たき火,国木田 独歩,日本文学全集12　国木田独歩石川啄木集,集英社
336,運命論者,国木田 独歩,小田切進二編　日本の文学6　武蔵野・春の鳥,ほるぷ出版
337,土曜夫人,織田 作之助,定本織田作之助全集　第七巻,文泉堂出版
338,最後の、そして始まりのエデン,徳永 真一,,
339,映画時代,寺田 寅彦,寺田寅彦随筆集　第二巻,岩波文庫、岩波書店
340,地図に出てくる男女,吉行 エイスケ,吉行エイスケ作品集,文園社
341,飛行機から墜ちるまで,吉行 エイスケ,吉行エイスケ作品集,文園社
342,女百貨店,吉行 エイスケ,吉行エイスケ作品集,文園社
343,大阪万華鏡,吉行 エイスケ,吉行エイスケ作品集,文園社
